fitness,lr0,lrf,momentum,weight_decay,warmup_epochs
0.73044,0.01,0.05,0.937,0.0005,3.0
0.71938,0.01,0.05,0.93503,0.001,2.55737
0.76198,0.00037,0.05847,0.93794,1e-05,2.99624
0.70059,1e-05,0.05,0.83977,1e-05,2.82849
0.75603,0.00207,0.05693,0.95626,0.0007,3.06624
0.73815,0.00477,0.05,0.94729,0.001,2.74086
0.70422,0.00721,0.06013,0.97,0.00066,2.54141
0.74243,0.0056,0.07225,0.93343,0.00017,3.18261
0.70042,0.01,0.05,0.95406,0.00072,2.64097
0.77132,0.00068,0.06241,0.82588,0.00028,1.95661
0.75537,0.00236,0.05,0.85704,0.00061,1.76396
0.76574,0.00153,0.05,0.8501,0.00037,2.01839
0.72493,0.0067,0.06284,0.81412,1e-05,1.81887
0.69777,1e-05,0.05035,0.8,9e-05,2.41933
0.76273,0.00191,0.05192,0.92623,0.00017,3.68871
0.7408,0.00399,0.05,0.93783,1e-05,1.81277
0.7613,0.00122,0.06282,0.83894,0.00054,1.58229
0.76505,0.00162,0.05142,0.86946,0.00016,2.68442
0.76761,0.00035,0.05014,0.82695,0.00064,1.90348
0.77081,0.00042,0.05772,0.8,0.00059,4.12518
0.75621,0.00243,0.07078,0.85732,0.00073,2.35908
0.75907,0.00119,0.06148,0.89486,0.00069,1.7644
0.76591,0.00237,0.05,0.85717,0.00038,2.92923
0.75515,0.00075,0.06119,0.96491,0.0002,4.09859
0.7558,0.0001,0.05713,0.8,0.00051,5.0
0.76539,0.00022,0.05,0.82171,0.00038,2.85113
0.7655,0.0014,0.05,0.8,0.00051,2.33258
0.76215,0.00113,0.07337,0.83999,0.00025,2.74071
0.76017,0.00206,0.05738,0.82389,0.00064,3.35145
0.76975,0.00098,0.05,0.8809,0.00041,3.95574
